"trainer/global_step","bilstm_logging - _step","bilstm_logging - _step__MIN","bilstm_logging - _step__MAX","bilstm_logging - train_accuracy_epoch","bilstm_logging - train_accuracy_epoch__MIN","bilstm_logging - train_accuracy_epoch__MAX","salstm_logging - _step","salstm_logging - _step__MIN","salstm_logging - _step__MAX","salstm_logging - train_accuracy_epoch","salstm_logging - train_accuracy_epoch__MIN","salstm_logging - train_accuracy_epoch__MAX","lstm_logging - _step","lstm_logging - _step__MIN","lstm_logging - _step__MAX","lstm_logging - train_accuracy_epoch","lstm_logging - train_accuracy_epoch__MIN","lstm_logging - train_accuracy_epoch__MAX"
"1051","22","22","22","0.5220608711242676","0.5220608711242676","0.5220608711242676","22","22","22","0.4832444190979004","0.4832444190979004","0.4832444190979004","22","22","22","0.34918487071990967","0.34918487071990967","0.34918487071990967"
"2103","45","45","45","0.7014013528823853","0.7014013528823853","0.7014013528823853","45","45","45","0.582202672958374","0.582202672958374","0.582202672958374","45","45","45","0.5573850870132446","0.5573850870132446","0.5573850870132446"
"3155","68","68","68","0.8129764795303345","0.8129764795303345","0.8129764795303345","68","68","68","0.6325660347938538","0.6325660347938538","0.6325660347938538","68","68","68","0.6770296096801758","0.6770296096801758","0.6770296096801758"
"4207","91","91","91","0.8799096345901489","0.8799096345901489","0.8799096345901489","91","91","91","0.6764203310012817","0.6764203310012817","0.6764203310012817","91","91","91","0.7746355533599854","0.7746355533599854","0.7746355533599854"
"5259","114","114","114","0.9143867492675781","0.9143867492675781","0.9143867492675781","114","114","114","0.707167387008667","0.707167387008667","0.707167387008667","114","114","114","0.8465470671653748","0.8465470671653748","0.8465470671653748"
"6311","137","137","137","0.9361132979393005","0.9361132979393005","0.9361132979393005","137","137","137","0.7351205945014954","0.7351205945014954","0.7351205945014954","137","137","137","0.8931655287742615","0.8931655287742615","0.8931655287742615"
"7363","160","160","160","0.9498893022537231","0.9498893022537231","0.9498893022537231","160","160","160","0.7554947733879089","0.7554947733879089","0.7554947733879089","160","160","160","0.9226047992706299","0.9226047992706299","0.9226047992706299"
"8415","183","183","183","0.9579141139984131","0.9579141139984131","0.9579141139984131","183","183","183","0.7773104906082153","0.7773104906082153","0.7773104906082153","183","183","183","0.9407201409339905","0.9407201409339905","0.9407201409339905"
"9467","206","206","206","0.9640219211578369","0.9640219211578369","0.9640219211578369","206","206","206","0.791190505027771","0.791190505027771","0.791190505027771","206","206","206","0.9533072710037231","0.9533072710037231","0.9533072710037231"
"10519","229","229","229","0.9692677855491638","0.9692677855491638","0.9692677855491638","229","229","229","0.8032574653625488","0.8032574653625488","0.8032574653625488","229","229","229","0.9609606266021729","0.9609606266021729","0.9609606266021729"
"11571","","","","","","","252","252","252","0.8168254494667053","0.8168254494667053","0.8168254494667053","252","252","252","0.9654931426048279","0.9654931426048279","0.9654931426048279"
"12623","","","","","","","275","275","275","0.8255932927131653","0.8255932927131653","0.8255932927131653","","","","","",""
"13675","","","","","","","298","298","298","0.8370510339736938","0.8370510339736938","0.8370510339736938","","","","","",""
"14727","","","","","","","321","321","321","0.8419996500015259","0.8419996500015259","0.8419996500015259","","","","","",""
"15779","","","","","","","344","344","344","0.8491179943084717","0.8491179943084717","0.8491179943084717","","","","","",""