"trainer/global_step","bilstm_logging - _step","bilstm_logging - _step__MIN","bilstm_logging - _step__MAX","bilstm_logging - train_loss_epoch","bilstm_logging - train_loss_epoch__MIN","bilstm_logging - train_loss_epoch__MAX","salstm_logging - _step","salstm_logging - _step__MIN","salstm_logging - _step__MAX","salstm_logging - train_loss_epoch","salstm_logging - train_loss_epoch__MIN","salstm_logging - train_loss_epoch__MAX","lstm_logging - _step","lstm_logging - _step__MIN","lstm_logging - _step__MAX","lstm_logging - train_loss_epoch","lstm_logging - train_loss_epoch__MIN","lstm_logging - train_loss_epoch__MAX"
"1051","22","22","22","1.1206445693969727","1.1206445693969727","1.1206445693969727","22","22","22","1.1806634664535522","1.1806634664535522","1.1806634664535522","22","22","22","1.3344937562942505","1.3344937562942505","1.3344937562942505"
"2103","45","45","45","0.7740646600723267","0.7740646600723267","0.7740646600723267","45","45","45","1.006463885307312","1.006463885307312","1.006463885307312","45","45","45","1.0709993839263916","1.0709993839263916","1.0709993839263916"
"3155","68","68","68","0.5127663016319275","0.5127663016319275","0.5127663016319275","68","68","68","0.8999232649803162","0.8999232649803162","0.8999232649803162","68","68","68","0.8247562646865845","0.8247562646865845","0.8247562646865845"
"4207","91","91","91","0.34497153759002686","0.34497153759002686","0.34497153759002686","91","91","91","0.811721682548523","0.811721682548523","0.811721682548523","91","91","91","0.6045112013816833","0.6045112013816833","0.6045112013816833"
"5259","114","114","114","0.24616023898124695","0.24616023898124695","0.24616023898124695","114","114","114","0.7407781481742859","0.7407781481742859","0.7407781481742859","114","114","114","0.43082645535469055","0.43082645535469055","0.43082645535469055"
"6311","137","137","137","0.1856832653284073","0.1856832653284073","0.1856832653284073","137","137","137","0.6781448721885681","0.6781448721885681","0.6781448721885681","137","137","137","0.30908486247062683","0.30908486247062683","0.30908486247062683"
"7363","160","160","160","0.14983965456485748","0.14983965456485748","0.14983965456485748","160","160","160","0.6282644867897034","0.6282644867897034","0.6282644867897034","160","160","160","0.23061683773994446","0.23061683773994446","0.23061683773994446"
"8415","183","183","183","0.12176255881786346","0.12176255881786346","0.12176255881786346","183","183","183","0.5800523161888123","0.5800523161888123","0.5800523161888123","183","183","183","0.1802057921886444","0.1802057921886444","0.1802057921886444"
"9467","206","206","206","0.10717654228210449","0.10717654228210449","0.10717654228210449","206","206","206","0.5433611869812012","0.5433611869812012","0.5433611869812012","206","206","206","0.14361166954040527","0.14361166954040527","0.14361166954040527"
"10519","229","229","229","0.09140022844076157","0.09140022844076157","0.09140022844076157","229","229","229","0.5136807560920715","0.5136807560920715","0.5136807560920715","229","229","229","0.12183886766433716","0.12183886766433716","0.12183886766433716"
"11571","","","","","","","252","252","252","0.4803055226802826","0.4803055226802826","0.4803055226802826","252","252","252","0.1049998551607132","0.1049998551607132","0.1049998551607132"
"12623","","","","","","","275","275","275","0.46068355441093445","0.46068355441093445","0.46068355441093445","","","","","",""
"13675","","","","","","","298","298","298","0.4351796507835388","0.4351796507835388","0.4351796507835388","","","","","",""
"14727","","","","","","","321","321","321","0.41841423511505127","0.41841423511505127","0.41841423511505127","","","","","",""
"15779","","","","","","","344","344","344","0.40066131949424744","0.40066131949424744","0.40066131949424744","","","","","",""